Version,CommitId,Fichier,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapJoinTableContainer.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,4.0,0.0,0.0,3.0,1.0,51.0,8.0,25.0,14.0,9.0,18.0,14.0,19.0,13.0,7.0,1.0,0.0,0.72,4.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapOperator.java,7.0,0.0,6.0,1.0,2.0,2.0,0.0,1.0,11.0,14.0,16.0,7.0,16.0,0.0,1.0,2.0,13.0,178.0,30.0,99.0,50.0,42.0,49.0,54.0,74.0,44.0,38.0,6.0,2.0,0.49,17.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractOperatorDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,12.0,5.0,12.0,0.0,0.0,0.0,12.0,92.0,18.0,57.0,32.0,14.0,17.0,21.0,34.0,22.0,12.0,1.0,0.0,0.3,12.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractOperatorDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,12.0,5.0,12.0,0.0,0.0,0.0,12.0,92.0,18.0,57.0,32.0,14.0,17.0,21.0,34.0,22.0,12.0,1.0,0.0,0.3,12.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractOutputFormat.java,12.0,1.0,11.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,3.0,0.0,0.0,1.0,50.0,8.0,17.0,8.0,8.0,25.0,11.0,14.0,8.0,7.0,2.0,1.0,1.47,2.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractParquetMapInspector.java,10.0,1.0,9.0,0.0,3.0,1.0,0.0,0.0,13.0,13.0,13.0,2.0,13.0,0.0,0.0,0.0,13.0,173.0,26.0,134.0,48.0,68.0,13.0,57.0,90.0,37.0,58.0,10.0,2.0,0.1,33.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveJavaObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,2.0,3.0,49.0,6.0,23.0,12.0,5.0,20.0,7.0,13.0,8.0,5.0,1.0,0.0,0.87,5.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveLazyObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,48.0,6.0,22.0,13.0,4.0,20.0,9.0,14.0,10.0,4.0,2.0,0.0,0.91,5.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveObjectInspector.java,7.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,10.0,10.0,10.0,1.0,10.0,0.0,0.0,2.0,8.0,107.0,13.0,46.0,25.0,10.0,48.0,15.0,26.0,16.0,10.0,1.0,0.0,1.04,10.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveWritableObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,46.0,6.0,20.0,11.0,4.0,20.0,6.0,11.0,7.0,4.0,1.0,0.0,1.0,4.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractRecordWriter.java,13.0,0.0,12.0,1.0,3.0,1.0,1.0,1.0,13.0,18.0,17.0,12.0,18.0,1.0,5.0,6.0,6.0,273.0,31.0,200.0,82.0,101.0,43.0,110.0,142.0,77.0,77.0,8.0,2.0,0.21,34.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractRowContainer.java,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0,59.0,10.0,14.0,12.0,0.0,35.0,10.0,12.0,12.0,0.0,0.0,0.0,2.5,0.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSMBJoinProc.java,41.0,4.0,27.0,10.0,4.0,1.0,0.0,0.0,11.0,12.0,12.0,0.0,12.0,0.0,2.0,7.0,3.0,537.0,61.0,335.0,134.0,201.0,141.0,175.0,227.0,109.0,163.0,12.0,3.0,0.42,49.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSMBJoinProc.java,41.0,4.0,27.0,10.0,4.0,1.0,0.0,0.0,11.0,12.0,12.0,0.0,12.0,0.0,2.0,7.0,3.0,537.0,61.0,335.0,134.0,201.0,141.0,175.0,227.0,109.0,163.0,12.0,3.0,0.42,49.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSMBJoinProc.java,41.0,4.0,27.0,10.0,4.0,1.0,0.0,0.0,11.0,12.0,12.0,0.0,12.0,0.0,2.0,7.0,3.0,537.0,61.0,335.0,134.0,201.0,141.0,175.0,227.0,109.0,163.0,12.0,3.0,0.42,49.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSSHCommand.java,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,11.0,7.0,11.0,0.0,0.0,0.0,11.0,70.0,4.0,48.0,22.0,15.0,18.0,23.0,35.0,21.0,14.0,1.0,0.0,0.38,11.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSSHResult.java,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,7.0,6.0,7.0,0.0,0.0,0.0,7.0,62.0,2.0,42.0,22.0,12.0,18.0,19.0,27.0,15.0,12.0,1.0,0.0,0.43,7.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSemanticAnalyzerHook.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,6.0,14.0,10.0,1.0,17.0,5.0,8.0,7.0,1.0,1.0,0.0,1.21,2.0,,0
